date,strategy_daily_return,,benchmark_daily_return,
2018-03-01,-9.45E-06,-9.450000000003457e-06,0.0116279,0.004618937644341703
2018-03-02,-9.52482E-05,-6.644999999999928e-05,-0.00461894,-0.009237875288683611
2018-03-03,-5.76011E-05,-5.7599999999999455e-05,-0.0091954,-0.009237875288683611
2018-03-04,-5.76011E-05,-5.7599999999999455e-05,-0.0091954,-0.009237875288683611
2018-03-05,-7.55014E-05,-1.7899999999999195e-05,0.0045977,0.013856812933025518
2018-03-06,0.000184416,0.00019404999999999938,0.0464037,0.032332563510392535
2018-03-07,6.40577E-05,-0.0001564499999999999,0.01373,-0.018475750577367223
2018-03-08,-0.00011369,3.329999999999945e-05,-0.0133038,0.004618937644341908
2018-03-09,2.17514E-05,-2.004999999999995e-05,-0.00225734,-0.006928406466512759
2018-03-10,-1.04503E-05,-1.0449999999999819e-05,-0.00674157,-0.006928406466512759
2018-03-11,-1.04503E-05,-1.0449999999999819e-05,-0.00674157,-0.006928406466512759
2018-03-12,5.25017E-05,6.295000000000061e-05,0.0247191,0.032332563510392535
2018-03-13,3.35519E-05,-4.310000000000012e-05,0.0384615,0.006928406466512759
2018-03-14,-4.23496E-05,-9.350000000000065e-06,0,-0.006928406466512759
2018-03-15,-4.14013E-05,-4.1399999999999726e-05,0.0043573,0.011547344110854669
2018-03-16,-0.000172007,-0.00013930000000000024,0.0175439,0.006928406466512554
2018-03-17,-0.000131411,-0.00013139999999999964,0.00650759,0.006928406466512554
2018-03-18,-0.000131411,-0.00013139999999999964,0.00650759,0.006928406466512554
2018-03-19,-0.000261171,-0.00012974999999999977,0.0368764,0.032332563510392744
2018-03-20,-0.000118576,1.9000000000002188e-06,0.0323276,0.0023094688221708516
2018-03-21,-3.23614E-05,-4.3249999999999886e-05,-0.0167364,-0.020785219399538073
2018-03-22,-7.14751E-05,-3.8749999999999776e-05,-0.0501044,-0.03464203233256359
